,Unemployment Insurance: Jobless Claims: Initial
Region,United States
Frequency,Weekly beginning at Saturday
Unit,Person th
Source,US Department of Labor
Status,Active
Series ID,298084001 (UGFEAA)
SR Code,SR4526209
Function Information,
First Obs. Date,7/1/1967
Last Obs. Date,29/09/2018
Last Update Time,4/10/2018
Remarks,
Suggestions,
Mean,353.309037
Variance,13516.98812
Standard Deviation,116.2625826
Skewness,1.235564255
Kurtosis,2.624930684
Coefficient Variation,0.329067673
Min,133
Max,1073.5
Median,332.2305
No. of Obs,2700
11/7/1987,402.706
18/07/1987,361.491
25/07/1987,339.756
1/8/1987,309.433
8/8/1987,296.403
15/08/1987,256.647
22/08/1987,245.058
29/08/1987,243.829
5/9/1987,255.589
12/9/1987,210.375
19/09/1987,243.651
26/09/1987,242.206
3/10/1987,244.736
10/10/1987,291.075
17/10/1987,242.157
24/10/1987,271.19
31/10/1987,261.036
7/11/1987,306.34
14/11/1987,286.334
21/11/1987,354.037
28/11/1987,288.614
5/12/1987,412.297
12/12/1987,372.869
19/12/1987,384.763
26/12/1987,397.287
2/1/1988,465.503
9/1/1988,654.62
16/01/1988,577.975
23/01/1988,412.685
30/01/1988,394.776
6/2/1988,380.906
13/02/1988,334.833
20/02/1988,315.497
27/02/1988,324.517
5/3/1988,312.409
12/3/1988,294.321
19/03/1988,275.545
26/03/1988,269
2/4/1988,256.607
9/4/1988,319.713
16/04/1988,273.16
23/04/1988,272.44
30/04/1988,247.619
7/5/1988,267.315
14/05/1988,257.101
21/05/1988,259.64
28/05/1988,255.852
4/6/1988,235.308
11/6/1988,268.052
18/06/1988,264.1
25/06/1988,268.77
2/7/1988,290.079
9/7/1988,335.78
16/07/1988,377.872
23/07/1988,384.92
30/07/1988,311.475
6/8/1988,293.718
13/08/1988,261.066
20/08/1988,253.359
27/08/1988,241.809
3/9/1988,243.944
10/9/1988,220.226
17/09/1988,247.25
24/09/1988,236.23
1/10/1988,226.453
8/10/1988,276.732
15/10/1988,237.722
22/10/1988,264.201
29/10/1988,265.794
5/11/1988,293.412
12/11/1988,257.201
19/11/1988,335.818
26/11/1988,281.841
3/12/1988,391.406
10/12/1988,354.028
17/12/1988,354.768
24/12/1988,413.175
31/12/1988,474.226
7/1/1989,544.138
14/01/1989,519.727
21/01/1989,364.499
28/01/1989,361.331
4/2/1989,340.647
11/2/1989,365.301
18/02/1989,317.676
25/02/1989,288.69
4/3/1989,333.669
11/3/1989,325.019
18/03/1989,291.112
25/03/1989,276.369
1/4/1989,275.799
8/4/1989,321.723
